                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.477,                 2.5684,                 1.6967,                0.99089,                0.15271,                0.41303,                0.23003,                 1.4147,                 2.8497,                 1.7149,             0.00036446,             0.00036446,             0.00036446
                      2,                 1.4252,                 1.7885,                 1.5751,                0.69109,                 0.5086,                0.54625,                0.28979,                  1.557,                 1.7668,                 1.8415,             0.00066204,             0.00066204,             0.00066204
                      3,                  1.422,                 1.6443,                 1.5445,                 0.7664,                0.57251,                0.61861,                0.31664,                 1.6127,                 1.4635,                  1.836,             0.00088631,             0.00088631,             0.00088631
                      4,                 1.4054,                 1.4752,                 1.5423,                 0.8364,                0.59988,                0.69959,                0.39069,                 1.4434,                 1.2273,                 1.6922,             0.00078103,             0.00078103,             0.00078103
                      5,                 1.3605,                 1.3312,                 1.4919,                0.69251,                0.77038,                0.78996,                0.42457,                 1.4751,                 1.1617,                 1.6873,             0.00067104,             0.00067104,             0.00067104
                      6,                 1.3539,                  1.265,                 1.4726,                0.87296,                0.63162,                0.85002,                0.45555,                 1.4528,                 1.0944,                 1.6608,             0.00056105,             0.00056105,             0.00056105
                      7,                 1.3121,                 1.1716,                 1.4479,                0.73192,                0.69003,                0.75202,                0.41863,                  1.475,                 1.0552,                 1.7009,             0.00045107,             0.00045107,             0.00045107
                      8,                 1.2875,                 1.1015,                 1.4273,                0.72373,                0.79961,                0.82629,                0.46412,                 1.4035,                0.99814,                  1.635,             0.00034108,             0.00034108,             0.00034108
                      9,                 1.2617,                 1.0303,                 1.4094,                0.78772,                0.79309,                0.85411,                0.47307,                 1.4362,                0.95278,                 1.6608,             0.00023109,             0.00023109,             0.00023109
                     10,                 1.2272,                0.99471,                 1.3854,                0.82736,                0.81086,                 0.8675,                0.48402,                 1.3865,                0.90832,                 1.6169,              0.0001211,              0.0001211,              0.0001211
